Interval=	0.00025 s
ExcelDateTime=	4.2696564859723469e+004	11/22/2016 13:33:23.880108
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	RTA	Stim
Range=	10.000 V	10.000 V
30.1295	0.608	0.000
30.12975	0.369	0.000
30.13	0.139	0.000
30.13025	-0.085	-0.000
30.1305	-0.285	0.000
30.13075	-0.418	0.000
30.131	-0.462	0.000
30.13125	-0.449	0.000
30.1315	-0.413	0.000
30.13175	-0.333	0.000
30.132	-0.162	0.000
30.13225	0.086	0.001
30.1325	0.355	0.000
30.13275	0.646	0.000
30.133	1.023	0.000
30.13325	1.455	0.000
30.1335	1.733	0.000
30.13375	1.644	0.000
30.134	1.203	0.000
30.13425	0.618	-0.000
30.1345	0.061	-0.001
30.13475	-0.469	-0.000
30.135	-1.015	0.000
30.13525	-1.511	-0.000
30.1355	-1.804	0.000
30.13575	-1.805	0.000
30.136	-1.561	0.000
30.13625	-1.193	0.000
30.1365	-0.776	4.955
30.13675	-0.314	4.957
30.137	0.198	0.001
30.13725	0.701	0.000
30.1375	1.085	-0.000
30.13775	1.290	0.001
30.138	1.343	0.001
30.13825	1.312	0.000
30.1385	1.243	0.000
30.13875	1.154	0.000
30.139	1.060	0.000
30.13925	0.969	-0.001
30.1395	0.868	-0.000
30.13975	0.748	0.000
30.14	0.616	0.000
30.14025	0.479	0.000
30.1405	0.319	-0.000
30.14075	0.127	0.000
30.141	-0.049	0.000
30.14125	-0.141	-0.000
30.1415	-0.156	-0.000
30.14175	-0.207	0.000
30.142	-0.405	0.000
30.14225	-0.740	0.000
30.1425	-1.078	0.000
30.14275	-1.280	0.001
30.143	-1.288	0.000
30.14325	-1.119	0.000
30.1435	-0.802	0.000
30.14375	-0.372	0.001
30.144	0.114	0.001
30.14425	0.591	0.000
30.1445	1.008	0.000
30.14475	1.342	0.000
30.145	1.583	-0.000
30.14525	1.721	0.000
30.1455	1.763	0.001
30.14575	1.729	-0.000
30.146	1.641	0.000
30.14625	1.508	-0.000
30.1465	1.347	0.000
30.14675	1.193	0.000
30.147	1.085	0.000
30.14725	1.023	0.001
30.1475	0.980	0.000
30.14775	0.918	0.001
30.148	0.810	0.000
30.14825	0.633	0.000
30.1485	0.367	0.000
30.14875	0.025	0.000
30.149	-0.338	0.000
30.14925	-0.653	0.000
30.1495	-0.854	0.000
30.14975	-0.901	-0.000
30.15	-0.808	0.000
30.15025	-0.646	0.001
30.1505	-0.497	0.000
30.15075	-0.386	-0.000
30.151	-0.291	0.000
30.15125	-0.201	-0.001
30.1515	-0.113	0.000
30.15175	0.028	0.000
30.152	0.312	0.000
30.15225	0.761	0.000
30.1525	1.278	0.001
30.15275	1.726	0.000
30.153	2.011	0.000
30.15325	2.058	0.000
30.1535	1.785	0.000
30.15375	1.202	0.000
30.154	0.483	0.001
30.15425	-0.108	0.000
30.1545	-0.407	0.000
30.15475	-0.425	0.000
30.155	-0.271	0.000
30.15525	-0.054	0.000
30.1555	0.144	0.000
30.15575	0.271	0.000
30.156	0.305	0.000
30.15625	0.252	0.000
30.1565	0.138	0.000
30.15675	0.010	-0.000
30.157	-0.074	0.000
30.15725	-0.077	0.001
30.1575	-0.004	0.000
30.15775	0.104	-0.000
30.158	0.208	0.000
30.15825	0.293	0.000
30.1585	0.381	0.000
30.15875	0.503	0.000
30.159	0.661	0.000
30.15925	0.808	0.000
30.1595	0.901	0.001
30.15975	0.931	0.000
30.16	0.905	0.000
30.16025	0.827	0.000
30.1605	0.731	0.001
30.16075	0.694	0.000
30.161	0.758	0.000
30.16125	0.858	0.001
30.1615	0.895	4.955
30.16175	0.880	4.957
30.162	0.926	0.001
30.16225	1.100	0.000
30.1625	1.328	0.001
30.16275	1.465	0.001
30.163	1.424	0.000
30.16325	1.222	0.000
30.1635	0.947	0.000
30.16375	0.680	0.000
30.164	0.434	0.000
30.16425	0.159	0.000
30.1645	-0.180	0.000
30.16475	-0.537	0.000
30.165	-0.821	0.000
30.16525	-0.970	0.000
30.1655	-0.957	0.000
30.16575	-0.759	0.000
30.166	-0.377	0.000
30.16625	0.117	0.000
30.1665	0.610	-0.000
30.16675	1.020	0.001
30.167	1.318	0.000
30.16725	1.501	0.000
30.1675	1.581	0.000
30.16775	1.589	-0.000
30.168	1.548	0.000
30.16825	1.447	0.000
30.1685	1.270	0.000
30.16875	1.046	-0.000
30.169	0.841	0.000
30.16925	0.701	0.000
30.1695	0.630	0.000
30.16975	0.618	-0.000
30.17	0.653	-0.000
30.17025	0.719	0.000
30.1705	0.795	0.000
30.17075	0.872	-0.000
30.171	0.953	-0.000
30.17125	1.031	0.000
30.1715	1.097	-0.000
30.17175	1.149	0.000
30.172	1.191	0.000
30.17225	1.207	0.000
30.1725	1.174	0.000
30.17275	1.071	0.000
30.173	0.890	-0.000
30.17325	0.630	0.000
30.1735	0.322	0.000
30.17375	0.027	0.000
30.174	-0.204	-0.000
30.17425	-0.373	0.000
30.1745	-0.533	0.001
30.17475	-0.731	0.000
30.175	-0.968	-0.000
30.17525	-1.199	0.000
30.1755	-1.342	0.000
30.17575	-1.308	0.000
30.176	-1.069	0.000
30.17625	-0.690	-0.000
30.1765	-0.251	0.001
30.17675	0.235	0.000
30.177	0.775	0.000
